Full Name,Specialty,Hospital Name,Area,Phone,Source,Raw ID
Dr. Sabbir Rahman,ENT Specialist,Evercare Hospital Bashundhara,Jatrabari,+8801694102641,directory,dummy-32
Prof. Dr. Jannat Rahman,Urologist,United Hospital Dhaka,Banani,+8801529418765,directory,dummy-33
Dr. Sadia Hasan,Urologist,Square Hospital Dhaka,Khilgaon,+8801380017774,directory,dummy-34
Prof. Dr. Mahmud Hossain,Hepatologist,BSMMU Dhaka,Old Dhaka,+8801376420428,directory,dummy-35
Dr. Nadim Khan,Hepatologist,Popular Diagnostic Centre Dhanmondi,Gulshan,+8801970114987,directory,dummy-36
Prof. Dr. Farhana Rahman,Diabetologist,Popular Diagnostic Centre Dhanmondi,Dhanmondi,+8801602487996,directory,dummy-37
Dr. Nargis Sarkar,Diabetologist,Labaid Hospital Dhanmondi,Malibagh,+8801890698060,directory,dummy-38
Prof. Dr. Imran Kabir,General Physician,Dhaka Medical College Hospital,Mohakhali,+8801604321708,directory,dummy-39
Dr. Saif Ahmed,General Physician,Holy Family Red Crescent Hospital,Old Dhaka,+8801765278786,directory,dummy-40
Prof. Dr. Sabbir Islam,Infectious Disease Specialist,BSMMU Dhaka,Khilgaon,+8801087478619,directory,dummy-41
Dr. Tarek Islam,Infectious Disease Specialist,Dhaka Medical College Hospital,Malibagh,+8801105762284,directory,dummy-42
Prof. Dr. Nadim Hossain,Allergist,Evercare Hospital Bashundhara,Mohakhali,+8801129011511,directory,dummy-43
Dr. Mahmud Kabir,Allergist,Square Hospital Dhaka,Mirpur,+8801953913516,directory,dummy-44
Prof. Dr. Imran Rahman,Immunologist,BSMMU Dhaka,Banani,+8801849826994,directory,dummy-45
Dr. Samia Khan,Immunologist,Evercare Hospital Bashundhara,Jatrabari,+8801578997738,directory,dummy-46
Prof. Dr. Shahriar Ahmed,Geriatrician,Square Hospital Dhaka,Uttara,+8801033580940,directory,dummy-47
Dr. Jannat Islam,Geriatrician,United Hospital Dhaka,Dhanmondi,+8801808177374,directory,dummy-48
Prof. Dr. Imran Islam,Pain Specialist,Holy Family Red Crescent Hospital,Gulshan,+8801673933399,directory,dummy-49
Dr. Nadim Hasan,Pain Specialist,National Heart Foundation Mirpur,Malibagh,+8801663556015,directory,dummy-50
Prof. Dr. Afreen Islam,Critical Care Specialist,Evercare Hospital Bashundhara,Old Dhaka,+8801274702022,directory,dummy-51
Dr. Tarek Kabir,Critical Care Specialist,Square Hospital Dhaka,Mohakhali,+8801350984854,directory,dummy-52
Prof. Dr. Farhana Kabir,Family Medicine Specialist,United Hospital Dhaka,Mirpur,+8801959008039,directory,dummy-53
Dr. Saif Islam,Family Medicine Specialist,Dhaka Medical College Hospital,Jatrabari,+8801899712229,directory,dummy-54
Prof. Dr. Shahriar Miah,Hematologist,Square Hospital Dhaka,Gulshan,+8801698256183,directory,dummy-55
Dr. Afreen Miah,Hematologist,BSMMU Dhaka,Old Dhaka,+8801307474379,directory,dummy-56
Prof. Dr. Mahmud Rahman,Neonatologist,Square Hospital Dhaka,Mirpur,+8801719569693,directory,dummy-57
Dr. Farhana Sarkar,Neonatologist,Evercare Hospital Bashundhara,Banani,+8801097485619,directory,dummy-58
Prof. Dr. Nargis Rahman,Physical Medicine & Rehab Specialist,BSMMU Dhaka,Mohakhali,+8801454089682,directory,dummy-59
Dr. Imran Khan,Physical Medicine & Rehab Specialist,National Heart Foundation Mirpur,Mohakhali,+8801968166654,directory,dummy-60
Prof. Dr. Jannat Rahman,Sports Medicine Specialist,Square Hospital Dhaka,Dhanmondi,+8801192087941,directory,dummy-61
Dr. Saif Rahman,Sports Medicine Specialist,Evercare Hospital Bashundhara,Banani,+8801155115533,directory,dummy-62
Prof. Dr. Sabbir Khan,Plastic Surgeon,United Hospital Dhaka,Gulshan,+8801211633491,directory,dummy-63
Dr. Sadia Khan,Plastic Surgeon,Square Hospital Dhaka,Uttara,+8801399524105,directory,dummy-64
Prof. Dr. Imran Ahmed,Vascular Surgeon,Dhaka Medical College Hospital,Old Dhaka,+8801903461612,directory,dummy-65
Dr. Mahmud Ahmed,Vascular Surgeon,BSMMU Dhaka,Khilgaon,+8801429385294,directory,dummy-66
Prof. Dr. Afreen Hossain,Neurosurgeon,United Hospital Dhaka,Banani,+8801338312214,directory,dummy-67
Dr. Imran Islam,Neurosurgeon,Square Hospital Dhaka,Dhanmondi,+8801561851412,directory,dummy-68
Prof. Dr. Sadia Rahman,Dental Surgeon,Evercare Hospital Bashundhara,Jatrabari,+8801995151642,directory,dummy-69
Dr. Tarek Islam,Dental Surgeon,Square Hospital Dhaka,Mirpur,+8801264993475,directory,dummy-70
Prof. Dr. Afreen Kabir,Maxillofacial Surgeon,Square Hospital Dhaka,Malibagh,+8801782182515,directory,dummy-71
Dr. Nargis Kabir,Maxillofacial Surgeon,Ibn Sina Hospital Dhanmondi,Dhanmondi,+8801081719296,directory,dummy-72
Prof. Dr. Mahmud Khan,Clinical Nutritionist,Square Hospital Dhaka,Mohakhali,+8801263677952,directory,dummy-73
Dr. Farhana Rahman,Clinical Nutritionist,Evercare Hospital Bashundhara,Uttara,+8801745815058,directory,dummy-74
Prof. Dr. Jannat Ahmed,Speech Therapist,BSMMU Dhaka,Jatrabari,+8801963816732,directory,dummy-75
Dr. Nadim Hossain,Speech Therapist,Holy Family Red Crescent Hospital,Old Dhaka,+8801547418858,directory,dummy-76
Prof. Dr. Farhana Ahmed,Physiotherapist,National Heart Foundation Mirpur,Mirpur,+8801400524709,directory,dummy-77
Dr. Imran Islam,Physiotherapist,Evercare Hospital Bashundhara,Malibagh,+8801715423159,directory,dummy-78
Prof. Dr. Saif Rahman,Occupational Therapist,BSMMU Dhaka,Gulshan,+8801430789926,directory,dummy-79
Dr. Afreen Rahman,Occupational Therapist,Square Hospital Dhaka,Dhanmondi,+8801357246274,directory,dummy-80
Prof. Dr. Sadia Kabir,Psychologist,Holy Family Red Crescent Hospital,Khilgaon,+8801417271837,directory,dummy-81
Dr. Jannat Sarkar,Psychologist,BSMMU Dhaka,Banani,+8801358004739,directory,dummy-82
Prof. Dr. Nargis Ahmed,Child Psychiatrist,BSMMU Dhaka,Mohakhali,+8801635037655,directory,dummy-83
Dr. Mahmud Kabir,Child Psychiatrist,Square Hospital Dhaka,Mirpur,+8801854589491,directory,dummy-84
Prof. Dr. Imran Khan,Pediatric Cardiologist,BSMMU Dhaka,Old Dhaka,+8801791880274,directory,dummy-85
Dr. Saif Kabir,Pediatric Cardiologist,National Heart Foundation Mirpur,Mirpur,+8801866773814,directory,dummy-86
Prof. Dr. Samia Chowdhury,Pediatric Neurologist,BSMMU Dhaka,Malibagh,+8801758897134,directory,dummy-87
Dr. Tarek Hossain,Pediatric Neurologist,Square Hospital Dhaka,Khilgaon,+8801163023180,directory,dummy-88
Prof. Dr. Farhana Islam,Fertility Specialist,United Hospital Dhaka,Banani,+8801428823957,directory,dummy-89
Dr. Sadia Rahman,Fertility Specialist,Labaid Hospital Dhanmondi,Dhanmondi,+8801041131150,directory,dummy-90
Prof. Dr. Imran Ahmed,Laparoscopic Surgeon,Square Hospital Dhaka,Old Dhaka,+8801584595434,directory,dummy-91
Dr. Sabbir Islam,Laparoscopic Surgeon,Evercare Hospital Bashundhara,Gulshan,+8801216343083,directory,dummy-92
Prof. Dr. Nadim Rahman,Spine Surgeon,Square Hospital Dhaka,Mohakhali,+8801089934900,directory,dummy-93
Dr. Saif Hossain,Spine Surgeon,United Hospital Dhaka,Uttara,+8801187050055,directory,dummy-94
Prof. Dr. Jannat Khan,Sleep Medicine Specialist,BSMMU Dhaka,Mirpur,+8801577958594,directory,dummy-95
Dr. Afreen Rahman,Sleep Medicine Specialist,Square Hospital Dhaka,Malibagh,+8801147564671,directory,dummy-96
Prof. Dr. Mahmud Islam,Radiologist,Square Hospital Dhaka,Gulshan,+8801189135146,directory,dummy-97
Dr. Nadim Islam,Radiologist,Evercare Hospital Bashundhara,Dhanmondi,+8801720283963,directory,dummy-98
Prof. Dr. Tarek Ahmed,Anesthesiologist,Dhaka Medical College Hospital,Old Dhaka,+8801805093212,directory,dummy-99
Dr. Farhana Miah,Anesthesiologist,BSMMU Dhaka,Jatrabari,+8801438509975,directory,dummy-100
